CUST_ID,INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
sdv-id-CxwdOR,184131,442678,1306580,2.209,6.5136,2.8701,5194,489,0.1031,0.0273,0.0115,0.0097,209,190,0.5043,0.0053,0.0111,0.0,25869,11838,0.4935,0.1384,0.0719,0.0259,1297,791,0.7883,0.0002,0.0,0.0,7500,4629,0.4467,0.0979,0.013,0.0018,23052,7194,0.3065,0.1228,0.0526,0.0239,6240,450,0.1553,0.0343,0.0156,0.0095,0,2,1.0,0.1466,0.0448,0.0214,12971,7017,0.5332,0.0627,0.0285,0.0148,34762,104,0.0976,0.0185,0.0362,0.0052,14424,7651,0.5026,0.0851,0.0427,0.0155,133189,47961,0.2948,0.6729,0.3131,0.1365,No,1,0,0,1,0,608,1
sdv-id-rALCUw,200266,1339023,598807,6.4752,2.7323,0.2829,7398,5210,0.4631,0.0315,0.0054,0.016,1009,712,0.5022,0.0108,0.0137,0.0001,9971,6345,0.6999,0.0454,0.006,0.021,207,703,0.7876,0.0,0.0,0.0,173,203,0.5963,0.0307,0.0004,0.0001,79674,39508,0.5119,0.4028,0.0722,0.1685,11436,1734,0.4641,0.0561,0.0071,0.0226,0,0,1.0,0.0893,0.0253,0.0103,7938,3866,0.5435,0.0329,0.0041,0.012,86980,24975,0.6178,0.163,0.1003,0.0676,19114,9543,0.5024,0.0991,0.0138,0.0469,194529,104076,0.5546,0.9548,0.1376,0.4084,High,1,0,0,1,1,644,0
sdv-id-PhvGFr,186921,923378,1023318,6.9685,5.8621,1.1714,17551,7564,0.2022,0.0899,0.0204,0.0201,3613,4130,0.5058,0.07,0.0212,0.0005,17563,8222,0.4938,0.0989,0.0175,0.0157,839,850,0.68,0.0,0.0,0.0,0,0,0.589,0.0064,0.0,0.0,38387,19394,0.4822,0.2079,0.0403,0.042,10022,12578,0.4063,0.0542,0.0138,0.0109,2818,3439,1.0,0.2155,0.0815,0.049,12844,5475,0.4739,0.0567,0.0135,0.0099,61280,13642,0.1684,0.1537,0.084,0.0506,15357,8247,0.5015,0.082,0.0163,0.0174,157647,81823,0.4223,0.9518,0.1825,0.1933,No,1,0,1,1,1,599,1
sdv-id-chXgxE,283703,555909,1962317,2.1228,7.467,4.0491,16949,11730,0.4952,0.0587,0.0352,0.0098,0,0,0.5006,0.0,0.0045,0.0,16747,6587,0.4931,0.0746,0.0406,0.009,1016,783,1.0524,0.0,0.0,0.0,15459,8901,0.545,0.097,0.0158,0.0018,24896,11482,0.4951,0.0769,0.0464,0.0141,13459,3171,0.4749,0.0491,0.0275,0.0077,559,991,1.0,0.2068,0.0674,0.0308,9897,5224,0.5161,0.0344,0.0207,0.0049,95687,30208,0.2774,0.2365,0.1946,0.0686,14560,7601,0.5017,0.043,0.0231,0.0058,216937,88669,0.4009,0.8205,0.4164,0.111,High,1,1,0,1,0,577,0
sdv-id-cTMDBf,138600,235614,2141511,2.4805,12.261,6.8384,23118,30945,0.9666,0.1383,0.0708,0.0246,9795,10514,0.4998,0.1418,0.036,0.0008,13336,7372,0.5061,0.0993,0.0459,0.0134,759,470,0.4907,0.0,0.0,0.0,22076,11732,0.5543,0.1078,0.0615,0.0078,19584,12275,0.6154,0.1487,0.0755,0.0147,11474,6770,0.463,0.0713,0.0399,0.0083,7,46,1.0,0.1517,0.0498,0.0247,5478,3570,0.555,0.0423,0.0266,0.0041,32434,4,0.6278,0.0067,0.0369,0.0002,7201,3277,0.5024,0.0584,0.0327,0.0059,116102,69456,0.6425,0.9112,0.4517,0.0901,High,1,0,0,1,0,421,1
sdv-id-kXcTGF,216611,374852,1269317,0.9065,5.1154,3.4264,28782,14637,0.6421,0.1313,0.0807,0.0201,390,594,0.5017,0.0059,0.0131,0.0001,31844,17668,0.5274,0.1434,0.0835,0.0254,327,98,0.7848,0.0,0.0,0.0,6351,2261,0.5149,0.0826,0.0065,0.0011,40124,19189,0.5386,0.1556,0.1088,0.0313,18003,7249,0.7237,0.0769,0.0434,0.0147,26,114,1.0,0.1577,0.0612,0.0286,11835,5452,0.5031,0.0471,0.0295,0.0082,53443,1033,0.6716,0.041,0.07,0.007,16725,7649,0.5025,0.0672,0.0424,0.0107,196537,117486,0.5713,0.8602,0.5963,0.181,High,1,0,0,1,0,570,0
sdv-id-MztIDT,153824,1012742,840630,8.1823,4.2703,0.6349,5908,181,0.0073,0.0445,0.0074,0.0145,10697,10689,0.5012,0.1288,0.0378,0.0011,29001,15035,0.5358,0.1842,0.0358,0.0354,1339,1024,0.5087,0.0004,0.0,0.0,1,1,0.6107,0.0078,0.0,0.0,19842,7212,0.3823,0.1068,0.0242,0.0204,2008,17,0.2891,0.0155,0.0025,0.0037,0,0,1.0,0.1224,0.0339,0.02,11898,4142,0.4504,0.0661,0.0102,0.0129,44199,1244,0.1675,0.0552,0.0466,0.0103,15846,7519,0.4997,0.083,0.0122,0.0121,120689,47705,0.3126,0.7903,0.1292,0.1886,No,1,1,0,1,0,679,0
sdv-id-STbqvJ,353122,1403146,2705132,4.3062,9.6285,2.8421,11023,13432,0.8652,0.03,0.0144,0.0038,279,160,0.4997,0.0012,0.0118,0.0,7988,4490,0.5562,0.0294,0.0112,0.004,1161,682,0.5148,0.0,0.0,0.0,16826,7269,0.5032,0.089,0.0102,0.0013,94250,56455,0.5897,0.3396,0.0992,0.0427,23371,2716,0.3782,0.0751,0.0244,0.0119,877,1366,1.0,0.1991,0.0777,0.0291,7299,3467,0.5085,0.0179,0.0046,0.002,146804,158788,0.646,0.4113,0.3324,0.2282,20246,10152,0.5028,0.0609,0.0137,0.0083,386996,249540,0.5465,0.9498,0.2351,0.1218,High,1,1,0,1,1,536,1
sdv-id-DkngyI,209247,927421,3290487,5.2045,16.3751,3.1759,10940,1939,0.0279,0.0522,0.0089,0.0017,21,15,0.5011,0.0002,0.0058,0.0,11710,5542,0.4933,0.0598,0.008,0.0025,1088,926,1.1527,0.0,0.0,0.0,12153,6429,0.5598,0.0786,0.0059,0.0009,33101,13091,0.3899,0.1609,0.0324,0.0111,7973,147,0.3637,0.0405,0.0072,0.0019,2930,3573,1.0,0.25,0.0981,0.0479,11003,4834,0.502,0.0484,0.0102,0.0023,60427,5849,0.2749,0.122,0.0965,0.0163,14868,8558,0.5021,0.0769,0.016,0.005,201411,73576,0.3234,0.7495,0.1858,0.0511,High,1,0,0,1,0,488,0
sdv-id-bxiNTO,224781,585150,345593,2.1092,1.4865,0.7949,18806,11125,0.6384,0.0804,0.0305,0.0461,4118,5537,0.5013,0.0547,0.0189,0.0008,22428,11095,0.501,0.0806,0.0433,0.0559,1077,1034,1.0321,0.0001,0.0,0.0,1,2,0.4341,0.0118,0.0,0.0,37097,20941,0.5787,0.1575,0.0596,0.1075,9376,19519,0.781,0.0426,0.0215,0.0295,1580,2250,1.0,0.2336,0.0659,0.0687,13047,7153,0.5546,0.0417,0.0215,0.0298,49588,578,0.5616,0.0341,0.0567,0.0107,18076,9005,0.5025,0.0564,0.0261,0.0454,169111,124867,0.5927,0.713,0.3263,0.6042,No,1,0,1,1,0,588,0
sdv-id-TyKuuB,484573,1355329,4328146,2.3986,11.1493,3.9169,22084,4687,0.4734,0.0511,0.0154,0.0047,24776,17790,0.4987,0.1955,0.0471,0.0023,44689,26913,0.6589,0.1087,0.0308,0.0058,1041,599,0.8843,0.0001,0.0,0.0,5758,3372,0.5268,0.0676,0.0028,0.0004,49971,25041,0.5511,0.1051,0.0333,0.0096,11482,5618,0.1341,0.0192,0.0063,0.0013,0,3,1.0,0.1192,0.0358,0.0129,15639,8071,0.5272,0.0404,0.0114,0.0025,134350,72817,0.594,0.2714,0.181,0.0753,19482,9855,0.5034,0.0482,0.0142,0.0036,407831,211885,0.5384,0.8888,0.242,0.0637,High,1,1,0,1,0,540,1
sdv-id-fFJtym,308991,168173,700854,0.7375,2.0583,3.3249,30868,6220,0.281,0.117,0.114,0.0411,132,121,0.5055,0.0031,0.0144,0.0,57787,37470,0.5858,0.2554,0.2577,0.0984,553,441,0.9877,0.0,0.0,0.0,1,3,0.4983,0.0136,0.0,0.0,13287,7476,0.5144,0.0584,0.0737,0.0187,9410,1832,0.2058,0.0285,0.0393,0.0114,0,6,1.0,0.1403,0.0616,0.0205,15450,7869,0.4923,0.065,0.0711,0.0238,69747,560,0.4217,0.066,0.1192,0.011,13484,7046,0.5032,0.0422,0.0752,0.0177,255649,135351,0.5243,0.8285,1.2821,0.3118,No,1,0,1,1,0,680,0
sdv-id-nBGIIr,177153,727867,1632236,2.6491,9.363,1.8295,13187,7965,0.5771,0.0718,0.0241,0.0136,1165,1141,0.5045,0.0148,0.0105,0.0001,23844,13770,0.5284,0.1156,0.0193,0.0127,314,227,0.5958,0.0,0.0,0.0,1744,1063,0.5249,0.0507,0.001,0.0003,45726,23530,0.5009,0.2727,0.0671,0.0396,14356,1339,0.7017,0.0757,0.0192,0.011,0,0,1.0,0.1145,0.0386,0.0144,14516,7305,0.55,0.0683,0.016,0.0089,32196,3,0.5697,0.0028,0.0264,0.0003,19264,9675,0.502,0.1015,0.0247,0.014,147457,81974,0.5686,0.886,0.2268,0.0765,High,1,1,0,1,1,551,1
sdv-id-wBBkOF,205687,571697,1562920,2.8455,6.5098,2.8002,7307,860,0.1151,0.04,0.0187,0.0044,27066,18505,0.5073,0.2032,0.0647,0.0026,37519,23211,0.5839,0.1669,0.0863,0.0233,45,94,0.7585,0.0,0.0,0.0,0,0,0.5026,0.0047,0.0,0.0,32813,12890,0.4199,0.1261,0.0518,0.0188,8365,4530,0.5239,0.0385,0.0152,0.0065,0,6,1.0,0.1302,0.0508,0.0208,8934,4355,0.5085,0.0405,0.0165,0.0073,72508,10588,0.407,0.1346,0.1231,0.0316,15809,8495,0.5034,0.0694,0.0266,0.0076,180367,97019,0.4888,0.9574,0.3539,0.1438,No,1,0,0,1,0,671,0
sdv-id-PsUGZc,405274,1119045,3861545,1.9367,11.0694,2.9352,7981,2448,0.2589,0.016,0.0043,0.0016,14590,13785,0.5014,0.1682,0.042,0.0012,37266,22782,0.6779,0.0624,0.0298,0.0067,1181,944,0.8894,0.0002,0.0,0.0,0,1,0.4628,0.0038,0.0,0.0,61257,34440,0.5393,0.1962,0.0471,0.0214,7702,1956,0.6387,0.0175,0.0048,0.0021,9371,8389,1.0,0.2505,0.1286,0.0508,12910,5697,0.4949,0.0313,0.0112,0.0028,121027,64049,0.5477,0.2533,0.1866,0.0699,18283,9451,0.5037,0.0581,0.0227,0.0072,353611,191069,0.5399,0.9129,0.2744,0.0689,No,1,0,0,1,0,534,0
sdv-id-cUHtmE,213003,323194,868964,0.9689,3.1484,2.3455,22498,16930,0.8508,0.1182,0.0759,0.0311,231,200,0.499,0.0052,0.0118,0.0001,32779,17673,0.5355,0.1547,0.0984,0.0451,902,869,0.6979,0.0,0.0,0.0,171,62,0.584,0.0309,0.0005,0.0001,16352,6908,0.5019,0.0626,0.0491,0.0209,6724,6757,0.6631,0.0312,0.0193,0.0096,4,27,1.0,0.1327,0.0622,0.0284,5444,2721,0.5117,0.0268,0.0192,0.0093,80864,25736,0.701,0.2214,0.1587,0.0657,9421,5270,0.5027,0.039,0.0255,0.0111,178530,107223,0.633,0.8064,0.6502,0.2827,No,1,1,0,1,0,602,1
sdv-id-fLqHyL,239572,1275046,2969020,4.7897,10.8694,2.677,5493,958,0.5696,0.0225,0.0064,0.0021,15124,14177,0.5025,0.1746,0.0353,0.0014,14407,8762,0.5971,0.0571,0.0085,0.0055,850,158,0.697,0.0,0.0,0.0,7,2,0.4679,0.0074,0.0,0.0,46709,22830,0.498,0.1936,0.0335,0.0148,11509,12509,0.4483,0.0476,0.0102,0.0038,1075,1689,1.0,0.2365,0.0663,0.0385,7011,4836,0.5457,0.0346,0.0064,0.0025,72250,7534,0.6417,0.1024,0.0787,0.0227,16447,8081,0.504,0.0674,0.0113,0.0054,214372,102098,0.5182,0.8191,0.1472,0.0968,No,1,0,0,1,0,601,0
sdv-id-LHaVTd,217847,654351,2245667,3.4629,8.9054,3.5463,20218,11007,0.6022,0.0865,0.0508,0.0192,1321,1136,0.5021,0.0194,0.0168,0.0001,24850,14617,0.7134,0.095,0.0514,0.0102,969,975,1.0529,0.0,0.0,0.0,12858,6514,0.4126,0.095,0.011,0.0016,50147,25637,0.5214,0.2127,0.0814,0.0285,7495,998,0.3597,0.0334,0.0122,0.0041,0,0,1.0,0.108,0.0368,0.0119,9913,5031,0.5114,0.0371,0.0153,0.0047,49492,389,0.5614,0.0473,0.0739,0.0059,17842,8947,0.5029,0.0756,0.0274,0.0069,233728,128250,0.5636,0.9486,0.294,0.1281,High,1,1,1,1,1,505,0
sdv-id-BLTZhd,162867,853820,4367118,5.3584,17.571,7.2114,7351,4782,0.2721,0.0416,0.0134,0.0009,15685,14423,0.5052,0.1705,0.0498,0.0011,22682,11469,0.5109,0.1308,0.0298,0.0022,522,825,0.5343,0.0,0.0,0.0,0,0,0.5286,0.0094,0.0,0.0,28548,12744,0.472,0.1574,0.039,0.0073,8200,2694,0.5465,0.0485,0.0127,0.0011,0,0,1.0,0.1066,0.0319,0.0107,10897,4245,0.4566,0.0575,0.0117,0.0015,47318,555,0.4476,0.0444,0.05,0.0015,12938,7511,0.5027,0.0801,0.0158,0.0031,132553,59182,0.4495,0.7024,0.1549,0.0504,No,1,1,0,1,1,475,1
sdv-id-RFiohh,217923,396234,308347,1.0405,1.0066,1.0335,5651,2007,0.4661,0.0259,0.024,0.0194,8308,8312,0.5017,0.1093,0.032,0.0012,24914,11097,0.4932,0.1208,0.0881,0.0535,911,624,0.7303,0.0,0.0,0.0,2711,1072,0.4608,0.0674,0.0039,0.001,17859,8875,0.5161,0.0782,0.0465,0.0475,3377,673,0.6425,0.0168,0.0112,0.014,7018,6788,1.0,0.2628,0.12,0.0944,6936,3829,0.5404,0.0338,0.022,0.0202,58326,1497,0.4675,0.0764,0.093,0.0187,9375,4547,0.5022,0.0408,0.0244,0.0223,165708,83475,0.5287,0.7479,0.4986,0.6798,No,1,1,1,1,0,657,0
sdv-id-VRYEYX,368202,918081,2982568,3.4912,9.1343,2.9912,9907,2998,0.408,0.0251,0.0072,0.0044,37122,19322,0.5025,0.222,0.0769,0.0089,26477,13792,0.5071,0.0816,0.0367,0.0094,862,920,0.73,0.0,0.0,0.0,21231,10818,0.3934,0.1063,0.0292,0.0036,58980,36481,0.5809,0.2155,0.0722,0.0246,5630,4105,0.3145,0.0129,0.005,0.0017,4103,4671,1.0,0.2354,0.0974,0.0516,12445,6535,0.4788,0.0373,0.0129,0.0044,34753,52,0.5449,0.0036,0.0261,0.0015,18025,8188,0.5003,0.0633,0.0234,0.0063,280563,164907,0.5295,0.6886,0.2603,0.0969,High,1,1,0,1,1,569,1
sdv-id-XoWKIL,371863,815986,3539805,2.2001,9.8925,4.9397,8780,4540,0.7639,0.0226,0.0132,0.0016,614,630,0.5032,0.0042,0.0111,0.0001,19389,9373,0.4943,0.0434,0.0327,0.0033,629,506,0.8281,0.0,0.0,0.0,10812,4293,0.4891,0.0848,0.0075,0.001,74392,42186,0.5772,0.2347,0.1051,0.0178,20989,10825,0.6363,0.0618,0.0269,0.005,0,7,1.0,0.1176,0.049,0.0146,12587,6608,0.5286,0.0347,0.017,0.0025,94500,35816,0.6529,0.1864,0.1315,0.045,19927,9683,0.5023,0.0667,0.0329,0.0043,282649,143047,0.5757,0.7501,0.3329,0.0792,High,1,1,1,1,0,525,1
sdv-id-DwDesp,173628,920355,1857251,4.6221,8.4909,1.3774,4972,1617,0.3839,0.0274,0.0065,0.0042,15516,13913,0.5024,0.1889,0.0384,0.0021,13630,6186,0.4931,0.0648,0.0163,0.0101,494,504,0.66,0.0,0.0,0.0,21944,11586,0.4833,0.1067,0.0377,0.0045,33228,16113,0.5556,0.1805,0.034,0.0274,5825,9245,0.4989,0.0368,0.0054,0.0047,49858,29507,1.0,0.322,0.1546,0.125,7500,5773,0.5721,0.0353,0.0061,0.0049,20764,1,0.4867,0.0009,0.0208,0.0001,13385,6637,0.502,0.0627,0.0114,0.009,145753,70396,0.5142,0.7492,0.1563,0.0904,High,1,0,0,1,0,564,0
